InputID,TargetID,Distance
66086,Airport (MCI),37426.87306
66086,The Plaza,43063.01142
66086,Power and Light,43234.1114
66086,The Legands,21578.40991
66086,Lee's Summit,64292.69187
66210,Airport (MCI),41803.3205
66210,The Plaza,16410.13152
66210,Power and Light,22206.78949
66210,The Legands,24761.44684
66210,Lee's Summit,27830.33851
66021,Airport (MCI),65048.60594
66021,The Plaza,47786.91399
66021,Power and Light,52767.37998
66021,The Legands,43231.38481
66021,Lee's Summit,56777.48606
66072,Airport (MCI),111310.9599
66072,The Plaza,87048.47604
66072,Power and Light,93217.00974
66072,The Legands,90342.49279
66072,Lee's Summit,83903.7026
66075,Airport (MCI),121748.0646
66075,The Plaza,93524.05488
66075,Power and Light,99865.57216
66075,The Legands,102860.325
66075,Lee's Summit,83450.08599
66092,Airport (MCI),75305.47904
66092,The Plaza,59086.66404
66092,Power and Light,64030.66191
66092,The Legands,53412.03285
66092,Lee's Summit,67344.87798
66115,Airport (MCI),19634.86486
66115,The Plaza,11406.13226
